[np.float64(1.1327056288856873e-125), np.float64(0.5675786892822564), np.float64(-0.032385408076210126), np.float64(-17.20744048260943), np.float64(60.223125), np.float64(-1.3287857969718009), np.float64(0.34356041660314957), np.float64(9.0501517903694)]
[np.float64(1.1867858443665185e-41), np.float64(0.2715258567299176), np.float64(-0.1198581070659559), np.float64(-13.082213230390916), np.float64(50.179390256321376), np.float64(-1.5080002951000964), np.float64(0.31639485635485903), np.float64(9.0219949134074)]
[np.float64(7.99676981308551e-19), np.float64(0.5213723465552891), np.float64(-0.04726977098841539), np.float64(-25.67625344929702), np.float64(64.78245026474816), np.float64(-1.7372122723701597), np.float64(0.3507828450585503), np.float64(9.0587238074074)]
[np.float64(-2.410121917336285e-100), np.float64(0.0244939290195959), np.float64(-0.04207093453964322), np.float64(-20.330739763644917), np.float64(61.278397876784794), np.float64(-2.4624737429462145), np.float64(0.0634803557047261), np.float64(8.275283250689899)]
[np.float64(7.99676981308551e-19), np.float64(0.4258127251524913), np.float64(-0.06232295859499999), np.float64(-12.496845976106417), np.float64(942.2521944777988), np.float64(-2.280900502246122), np.float64(0.21828066675598462), np.float64(8.427686115001)]
[np.float64(7.99676981308551e-19), np.float64(-0.004122974640885927), np.float64(-0.032385408076210126), np.float64(-14.192389833871584), np.float64(943.6841142765069), np.float64(-1.2257941580841207), np.float64(0.4410410448155631), np.float64(9.3346877420455)]
[np.float64(7.99676981308551e-19), np.float64(0.3799297936947829), np.float64(-0.03240117791304375), np.float64(-6.92709780967855), np.float64(1723.425126888365), np.float64(-1.2923495282910902), np.float64(0.919847131115406), np.float64(9.472143824862)]
[np.float64(7.99676981308551e-19), np.float64(0.5381696913344642), np.float64(-0.02792717356049581), np.float64(-4.634066674167709), np.float64(1679.193994434957), np.float64(-1.0832489053663208), np.float64(1.3511467710792968), np.float64(9.1699591109441)]
[np.float64(7.99676981308551e-19), np.float64(0.5123530018001279), np.float64(-0.025522227618805376), np.float64(-4.5906554634204895), np.float64(1784.4636825839586), np.float64(-1.153199093198391), np.float64(1.3736252613501883), np.float64(9.472748274068)]
[np.float64(7.99676981308551e-19), np.float64(0.5380835457242255), np.float64(-0.17435713522547233), np.float64(-23.112309779047532), np.float64(1857.0401615205615), np.float64(-0.9469472223006096), np.float64(1.6718981508700566), np.float64(9.472748274068)]
[np.float64(7.99676981308551e-19), np.float64(0.42635833571459203), np.float64(-0.027698163149178882), np.float64(-6.704147291575101), np.float64(1857.0401615205615), np.float64(-0.8973667566949034), np.float64(1.6718981508700566), np.float64(9.472748274068)]
[np.float64(7.99676981308551e-19), np.float64(0.38212884277922365), np.float64(-0.03548571258677402), np.float64(-6.578478106306022), np.float64(1430.8633972239984), np.float64(-0.9075107467638467), np.float64(1.5715572698682119), np.float64(9.4896656008795)]
[np.float64(7.99676981308551e-19), np.float64(0.6889756346282216), np.float64(-0.042337350479567666), np.float64(-3.41998105641338), np.float64(1857.0401615205615), np.float64(-0.9517115448163729), np.float64(1.651889613887651), np.float64(9.4896656008795)]
